Year,Nb of Crashes,Fatalities
1918,12,4
1919,62,33
1920,97,54
1921,98,42
1922,80,69
1923,52,51
1924,37,28
1925,56,32
1926,84,71
1927,109,107
1928,191,169
1929,239,251
1930,184,190
1931,164,172
1932,142,120
1933,151,201
1934,136,199
1935,182,329
1936,215,399
1937,165,346
1938,203,618
1939,240,486
1940,459,1127
1941,335,1134
1942,698,2736
1943,815,4060
1944,944,4646
1945,737,4700
1946,423,2064
1947,371,1922
1948,391,1978
1949,351,1916
1950,426,2138
1951,491,2304
1952,404,2286
1953,337,1970
1954,289,1549
1955,280,1432
1956,243,1435
1957,263,1654
1958,272,1808
1959,242,1524
1960,234,2033
1961,262,1961
1962,262,2477
1963,211,1838
1964,273,1803
1965,293,2272
1966,281,2222
1967,353,2351
1968,340,2435
1969,364,2752
1970,330,2309
1970,313,2309
1970,330,2188
1970,313,2188
1972,376,3355
1973,372,2975
1974,317,2782
1975,332,1930
1976,307,2416
1977,372,2556
1978,408,2220
1979,383,2593
1980,379,2343
1981,320,1585
1982,309,2066
1983,289,2047
1984,284,1329
1985,296,3023
1986,276,1781
1987,341,2157
1988,306,2392
1989,337,2603
1990,282,1417
1991,269,2023
1992,289,2325
1993,299,1782
1994,249,2000
1995,295,1848
1996,273,2856
1997,252,1797
1998,250,1761
1999,234,1178
2000,232,1634
2001,229,1549
2002,230,1388
2003,225,1260
2004,195,795
2005,211,1478
2006,212,1322
2007,195,1008
2008,212,916
2009,182,1120
2010,188,1153
2011,180,850
2012,178,807
2013,173,465
2014,159,1351
2015,128,904
2016,106,631
2017,102,399
2018,115,1039
2019,126,578
2020,92,463
2021,82,357
